USUARIO	ARCHIVOS.sh
root	12 
daemon	0 
bin	0 
sys	0 
sync	0 
games	0 
man	0 
lp	0 
mail	0 
news	0 
uucp	0 
proxy	0 
www-data	0 
backup	0 
list	0 
irc	0 
_apt	0 
nobody	0 
systemd-network	0 
systemd-timesync	0 
messagebus	0 
tss	0 
strongswan	0 
tcpdump	0 
usbmux	0 
sshd	0 
dnsmasq	0 
avahi	0 
speech-dispatcher	0 
pulse	0 
lightdm	0 
saned	0 
polkitd	0 
rtkit	0 
colord	0 
nm-openvpn	0 
nm-openconnect	0 
mysql	0 
stunnel4	0 
_rpc	0 
geoclue	0 
Debian-snmp	0 
sslh	0 
ntpsec	0 
redsocks	0 
rwhod	0 
_gophish	0 
iodine	0 
miredo	0 
statd	0 
redis	0 
postgres	0 
mosquitto	0 
inetsim	0 
_gvm	0 
kali	0 
Debian-exim	0 
invitado	0 
invitado2	0 
